2022-06-09 15:00:37,902 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.5242, 30.505947]', 'gjwd': '[114.524177, 30.505967]', 'planId': '1534792313787621378'}}
2022-06-09 15:00:57,942 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524364, 30.505828]', 'gjwd': '[114.524364, 30.505828]', 'planId': '1534792313787621378'}}
2022-06-09 15:02:51,181 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.524561, 30.505571]', 'gjwd': '[114.524561, 30.505571]', 'planId': ''}}
2022-06-09 15:05:36,151 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524066, 30.506151]', 'gjwd': '[114.52406, 30.506167]', 'planId': '1534793637853896705'}}
2022-06-09 15:05:56,281 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.52419, 30.505955]', 'gjwd': '[114.524185, 30.505959]', 'planId': '1534793637853896705'}}
2022-06-09 15:06:15,721 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524348, 30.505845]', 'gjwd': '[114.524348, 30.505845]', 'planId': '1534793637853896705'}}
2022-06-09 15:10:21,337 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524456, 30.505677]', 'gjwd': '[114.524456, 30.505677]', 'planId': ''}}
2022-06-09 15:11:09,562 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524075, 30.506137]', 'gjwd': '[114.524064, 30.506158]', 'planId': '1534795046917742593'}}
2022-06-09 15:11:28,972 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524176, 30.505968]', 'gjwd': '[114.524172, 30.505972]', 'planId': '1534795046917742593'}}
2022-06-09 15:11:48,998 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524366, 30.505827]', 'gjwd': '[114.524354, 30.505839]', 'planId': '1534795046917742593'}}
2022-06-09 15:14:36,484 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524075, 30.506137]', 'gjwd': '[114.524069, 30.506148]', 'planId': '1534795947216707585'}}
2022-06-09 15:14:55,294 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.52418, 30.505964]', 'gjwd': '[114.524172, 30.505972]', 'planId': '1534795947216707585'}}
2022-06-09 15:15:15,484 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524369, 30.505821]', 'gjwd': '[114.524362, 30.505831]', 'planId': '1534795947216707585'}}
2022-06-09 15:15:34,266 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524457, 30.505675]', 'gjwd': '[114.524457, 30.505675]', 'planId': '1534795947216707585'}}
2022-06-09 15:16:01,311 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.524457, 30.505675]', 'gjwd': '[114.524457, 30.505675]', 'planId': ''}}
2022-06-09 15:16:47,946 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524072, 30.506141]', 'gjwd': '[114.52406, 30.506167]', 'planId': '1534796463443255297'}}
